74587;Cinnyris;coccinigastrus;Splendid Sunbird;;G.Boano;Burkina Faso;Folonzo;;;song
89035;Cinnyris;coccinigastrus;Splendid Sunbird;;Llewellyn Grimes;Ghana;Lower Hill, University of Ghana, Legon;6.472927;0.484085;song
89036;Cinnyris;coccinigastrus;Splendid Sunbird;;Llewellyn Grimes;Ghana;Lower Hill, University of Ghana, Legon;6.472927;0.484085;song
89037;Cinnyris;coccinigastrus;Splendid Sunbird;;Llewellyn Grimes;Ghana;Lower Hill, University of Ghana, Legon;6.472927;0.484085;song
89038;Cinnyris;coccinigastrus;Splendid Sunbird;;Llewellyn Grimes;Ghana;Lower Hill, University of Ghana, Legon;6.472927;0.484085;song
89039;Cinnyris;coccinigastrus;Splendid Sunbird;;Llewellyn Grimes;Ghana;Lower Hill, University of Ghana, Legon;6.472927;0.484085;song
89040;Cinnyris;coccinigastrus;Splendid Sunbird;;Llewellyn Grimes;Ghana;Lower Hill, University of Ghana, Legon;6.472927;0.484085;song
89041;Cinnyris;coccinigastrus;Splendid Sunbird;;Llewellyn Grimes;Ghana;Lower Hill, University of Ghana, Legon;6.472927;0.484085;song
89042;Cinnyris;coccinigastrus;Splendid Sunbird;;Llewellyn Grimes;Ghana;Lower Hill, University of Ghana, Legon;6.472927;0.484085;song
89043;Cinnyris;coccinigastrus;Splendid Sunbird;;Llewellyn Grimes;Ghana;Lower Hill, University of Ghana, Legon;6.472927;0.484085;song
89044;Cinnyris;coccinigastrus;Splendid Sunbird;;Llewellyn Grimes;Ghana;Botanical Gardens, University of Ghana, Accra;5.65911;-0.198698;song
89045;Cinnyris;coccinigastrus;Splendid Sunbird;;Llewellyn Grimes;Ghana;Lower Hill, University of Ghana, Legon;6.472927;0.484085;song
89046;Cinnyris;coccinigastrus;Splendid Sunbird;;Llewellyn Grimes;Ghana;Botanical Gardens, University of Ghana, Accra;5.65911;-0.198698;song
89047;Cinnyris;coccinigastrus;Splendid Sunbird;;Llewellyn Grimes;Ghana;Legon Hill, near Common Hall, University of Ghana;5.649634;-0.196429;song
89048;Cinnyris;coccinigastrus;Splendid Sunbird;;Llewellyn Grimes;Ghana;Little Legon, Lower Hill, University of Ghana, Legon;6.472927;0.484085;song
89049;Cinnyris;coccinigastrus;Splendid Sunbird;;Llewellyn Grimes;Ghana;Little Legon, Lower Hill, University of Ghana, Legon;6.472927;0.484085;song
89050;Cinnyris;coccinigastrus;Splendid Sunbird;;Llewellyn Grimes;Ghana;Legon Hill, University of Ghana;5.649634;-0.196429;song
89051;Cinnyris;coccinigastrus;Splendid Sunbird;;Llewellyn Grimes;Ghana;Legon Hill, University of Ghana;5.649634;-0.196429;song
89052;Cinnyris;coccinigastrus;Splendid Sunbird;;Llewellyn Grimes;Ghana;Achimota School, Accra;5.65911;-0.198698;song
89053;Cinnyris;coccinigastrus;Splendid Sunbird;;Llewellyn Grimes;Ghana;The Folley, University of Ghana, Legon;;;song
89054;Cinnyris;coccinigastrus;Splendid Sunbird;;Llewellyn Grimes;Ghana;The Folley, University of Ghana, Legon;;;song
89055;Cinnyris;coccinigastrus;Splendid Sunbird;;Llewellyn Grimes;Ghana;Lower Hill, University of Ghana, Legon;6.472927;0.484085;song
89056;Cinnyris;coccinigastrus;Splendid Sunbird;;Llewellyn Grimes;Ghana;Lower Hill, University of Ghana, Legon;6.472927;0.484085;song
89057;Cinnyris;coccinigastrus;Splendid Sunbird;;Llewellyn Grimes;Ghana;Shai Hills;5.882;0.0437;song
89058;Cinnyris;coccinigastrus;Splendid Sunbird;;Llewellyn Grimes;Ghana;Lower Hill, University of Ghana, Legon;6.472927;0.484085;song
99701;Cinnyris;coccinigastrus;Splendid Sunbird;;Mike Nelson;Cameroon;Mankon Sacred Forest, Mankon;6.0175;10.1056;Song
