21584;Oenanthe;chrysopygia;Red-tailed Wheatear;;Manuel Schweizer;Iran;Sharud;36.412442;54.971466;song
44535;Oenanthe;chrysopygia;Red-tailed Wheatear;;Herman van Oosten;Oman;Road between Lizq and Ibra;22.697;58.33;subsong
44536;Oenanthe;chrysopygia;Red-tailed Wheatear;;Herman van Oosten;Oman;Ras al Jinz;22.532;59.8;song?
