21859;Paradoxornis;guttaticollis;Spot-breasted Parrotbill;;Mathias Ritschard;India;Murlen National Park, Mizoram;23.6473;93.1501;calls?
65094;Paradoxornis;guttaticollis;Spot-breasted Parrotbill;;David Edwards;Vietnam;Sapa;22.3353;103.8514;song
65095;Paradoxornis;guttaticollis;Spot-breasted Parrotbill;;David Edwards;Vietnam;Sapa;22.3353;103.8514;song
65096;Paradoxornis;guttaticollis;Spot-breasted Parrotbill;;David Edwards;Vietnam;Sapa;22.3353;103.8514;song
65097;Paradoxornis;guttaticollis;Spot-breasted Parrotbill;;David Edwards;Vietnam;Sapa;22.3353;103.8514;song
89870;Paradoxornis;guttaticollis;Spot-breasted Parrotbill;;Frank Lambert;Myanmar;Mount Victoria;21.2331;93.9167;song
