41197;Geokichla;piaggiae;Abyssinian Ground Thrush;tanganijcae;Louis Boon;Uganda;Bwindi NP;-1.026308;29.679222;song
72876;Geokichla;piaggiae;Abyssinian Ground Thrush;piaggiae;James Bradley;Kenya;Kericho Tea Estates;-0.351;35.319;song
72877;Geokichla;piaggiae;Abyssinian Ground Thrush;piaggiae;James Bradley;Kenya;Kericho Tea Estates;-0.351;35.319;song
