10697;Sicalis;auriventris;Greater Yellow Finch;;Daniel González Amat;Chile;Farellones, Santiago;-33.3;-70.25;call
15777;Sicalis;auriventris;Greater Yellow Finch;;Doug Knapp;Chile;Below Valle Nevado;-30.3653;-70.2551;Song
17919;Sicalis;auriventris;Greater Yellow Finch;;Doug Knapp;Chile;Embalse El Yeso;-33.6109;-69.9884;Begging calls
36148;Sicalis;auriventris;Greater Yellow Finch;;Fabrice Schmitt;Chile;Embalse El Yeso;-33.6109;-69.9884;song
60223;Sicalis;auriventris;Greater Yellow Finch;;Alvaro Jaramillo;Chile;Farallones, Region Metropolitana;;;song
60224;Sicalis;auriventris;Greater Yellow Finch;;Alvaro Jaramillo;Chile;Farallones, Region Metropolitana;;;song
60225;Sicalis;auriventris;Greater Yellow Finch;;Alvaro Jaramillo;Chile;Farallones, Region Metropolitana;;;song
60226;Sicalis;auriventris;Greater Yellow Finch;;Alvaro Jaramillo;Chile;Farallones, Region Metropolitana;;;song
